"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"05/24/2020","AQS","170314007","3","8.5","ug/m3 LC","35","REGIONAL OFFICE BUILDING","1","100.0000","88101","PM2.5 - Local Conditions","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","42.0602846910538","-87.8632254343829"
"05/25/2020","AQS","170314007","3","7.4","ug/m3 LC","31","REGIONAL OFFICE BUILDING","1","100.0000","88101","PM2.5 - Local Conditions","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","42.0602846910538","-87.8632254343829"
"05/26/2020","AQS","170314007","3","10.6","ug/m3 LC","44","REGIONAL OFFICE BUILDING","1","100.0000","88101","PM2.5 - Local Conditions","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","42.0602846910538","-87.8632254343829"
"05/27/2020","AQS","170314007","3","9.7","ug/m3 LC","40","REGIONAL OFFICE BUILDING","1","100.0000","88101","PM2.5 - Local Conditions","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","42.0602846910538","-87.8632254343829"
"05/28/2020","AQS","170314007","3","5.2","ug/m3 LC","22","REGIONAL OFFICE BUILDING","1","100.0000","88101","PM2.5 - Local Conditions","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","42.0602846910538","-87.8632254343829"
"05/29/2020","AQS","170314007","3","9.5","ug/m3 LC","40","REGIONAL OFFICE BUILDING","1","100.0000","88101","PM2.5 - Local Conditions","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","42.0602846910538","-87.8632254343829"
"05/30/2020","AQS","170314007","3","5.4","ug/m3 LC","23","REGIONAL OFFICE BUILDING","1","100.0000","88101","PM2.5 - Local Conditions","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","42.0602846910538","-87.8632254343829"
"05/31/2020","AQS","170314007","3","3.1","ug/m3 LC","13","REGIONAL OFFICE BUILDING","1","100.0000","88101","PM2.5 - Local Conditions","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","42.0602846910538","-87.8632254343829"
"06/01/2020","AQS","170314007","3","4.7","ug/m3 LC","20","REGIONAL OFFICE BUILDING","1","100.0000","88101","PM2.5 - Local Conditions","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","42.0602846910538","-87.8632254343829"
"06/02/2020","AQS","170314007","3","8","ug/m3 LC","33","REGIONAL OFFICE BUILDING","1","100.0000","88101","PM2.5 - Local Conditions","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","42.0602846910538","-87.8632254343829"
"06/03/2020","AQS","170314007","3","6.2","ug/m3 LC","26","REGIONAL OFFICE BUILDING","1","100.0000","88101","PM2.5 - Local Conditions","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","42.0602846910538","-87.8632254343829"
