stationame,longitude,latitude,jan,feb,mar,apr,may,jun,jul,aug,sep
Central-Evanston,-87.685617,42.063987,1.174728583,0.707001711,0.919009734,1.102042884,0.971277098,0.625300676,0.067437637,0.081912835,-0.005871229
Central-Lake,-87.714842,41.853839,0.847915593,1.094182322,2.138185566,2.111949466,1.865206721,1.743381291,0.568165375,0.776481261,0.436764206
Cermak-Chinatown,-87.630968,41.853206,0.800178464,-0.515858087,-1.119976534,-0.609377644,-0.760586177,-0.937163497,-0.539036451,-0.540539306,-0.323049096
Cermak-McCormick Place,-87.626402,41.853115,-4.606885207,-3.606433282,-2.445960932,-0.789100914,-0.677040455,-0.791424533,-0.527647239,-0.542045053,-0.441099565
Chicago/Franklin,-87.655214,41.896075,0.372892198,0.645372513,-0.73277721,-0.802441857,-0.64050781,-0.316737972,-0.051172764,-0.304631291,-0.19001922
Chicago/Milwaukee,-87.635924,41.89681,-0.303056731,-0.043490846,-0.936598799,-0.924226374,-0.937111842,-0.823455803,-0.418531736,-0.369878915,-0.285708633
Chicago/State,-87.628176,41.896671,-0.092658791,-0.101937257,-0.803643064,-0.698780585,-0.777333393,-0.798650771,-0.376533113,-0.347237756,-0.244712713
Cicero-Cermak,-87.745336,41.85182,-0.078427303,-0.286474398,1.100542324,1.277021278,1.541574873,1.379456495,0.596437956,0.814456985,0.508209076
Cicero-Forest Park,-87.745154,41.871574,-1.018215532,-0.582350722,1.684105562,1.852619216,1.811817272,1.495540641,0.459684431,0.544635371,0.386243378
Cicero-Lake,-87.744698,41.886519,0.350791887,0.225974651,1.995026366,1.992062423,1.862863633,1.367065013,0.440095035,0.662128964,0.444132607
Clark/Division,-87.631412,41.90392,-0.423879303,-0.400539524,-0.597941294,-0.42254302,-0.606485691,-0.447146995,-0.343169884,-0.270767346,-0.202830052
Clark/Lake,-87.630886,41.885737,-0.181430179,-0.253861816,-1.168545053,-1.060800399,-1.079423875,-0.956674579,-0.342767089,-0.542386763,-0.391579708
