stationame,1,2,3,4,5,6,7,8,9,10,11,12
Pulaski-Orange,0.087732148,0.008977458,-0.446040876,-0.871717289,-0.885441243,-0.808894144,-0.571493484,-0.582315225,-0.611655116,,,
Quincy/Wells,0.114061418,0.0635563,-0.528788086,-0.952215257,-0.957938158,-0.934929759,-0.851627817,-0.870576621,-0.8358617,,,
Racine,0.083286283,0.028304505,-0.483862574,-0.899801688,-0.922434838,-0.892543369,-0.796536797,-0.723657769,-0.770820788,,,
Randolph/Wabash,,,,,,,,,,,,
Ridgeland,0.026318295,-0.020397261,-0.51736795,-0.888891883,-0.903796018,-0.870541023,-0.823818539,-0.767365739,-0.742017923,,,
Rockwell,0.025379234,0.005852997,-0.520250271,-0.930572025,-0.92802162,-0.88592741,-0.7536085,-0.793464207,-0.773253619,,,
Roosevelt,0.029559896,0.028957588,-0.426369318,-0.822343519,-0.841236039,-0.810014796,-0.720728182,-0.645852363,-0.586617987,,,
Rosemont,-0.048421741,-0.090051952,-0.479111247,-0.846534869,-0.852033398,-0.825208002,-0.745580609,-0.620417664,-0.649178547,,,
Sedgwick,0.09040146,0.053002455,-0.510407087,-0.905574445,-0.916187245,-0.883218322,-0.753083708,-0.771971822,-0.723018336,,,
Sheridan,0.031691524,-0.025670885,-0.518855939,-0.908200658,-0.91539293,-0.878144979,-0.809197942,-0.733055503,-0.700898113,,,
South Boulevard,0.105740305,0.030813973,-0.420204219,-0.822117672,-0.823805615,-0.786759123,-0.727496855,-0.637523927,-0.601425615,,,
Southport,0.022151729,-0.024615217,-0.569087811,-0.961448505,-0.958614454,-0.919110838,-0.828544019,-0.821349022,-0.808023155,,,
Sox-35th-Dan Ryan,0.032796982,-0.032280769,-0.435206075,-0.86221211,-0.899768895,-0.915067085,-0.87543461,-0.839131771,-0.764953043,,,
State/Lake,0.11223279,0.027215909,-0.51719734,-0.924486791,-0.921506527,-0.890413447,-0.733997105,-0.737635569,-0.73291364,,,
Thorndale,-0.096855256,-0.270233073,-0.522106053,-0.882911005,-0.878231929,-0.833896159,-0.77616618,-0.773857045,-0.672336861,,,
UIC-Halsted,0.115928037,0.000264871,-0.471720356,-0.949054514,-0.91639787,-0.875996288,-0.825908402,-0.784257184,-0.848664863,,,
Washington/Dearborn,-0.003683051,-0.039844544,-0.549563639,-0.94492424,-0.949088462,-0.91323047,-0.855440395,-0.815071878,-0.77620312,,,
Washington/Wabash,-0.430773261,-0.406269387,-0.691924614,-0.947253763,-0.945725288,-0.907099208,-0.839442727,-0.846231257,-0.712843191,,,
Washington/Wells,0.063987839,0.02581682,-0.526328426,-0.937441189,-0.939819878,-0.903740068,-0.796835882,-0.829009798,-0.790570742,,,
Wellington,0.063487698,0.023307764,-0.517327542,-0.92406607,-0.917982534,-0.884165511,-0.754997511,-0.766415796,-0.729488895,,,
Western-Brown,0.069178854,0.017297414,-0.474235178,-0.893020379,-0.893493332,-0.842954105,-0.674896703,-0.669301454,-0.628610653,,,
Western-Cermak,0.062469555,-0.034452053,-0.384399012,-0.746290762,-0.778060134,-0.701033495,-0.562184216,-0.388811475,-0.388978259,,,
Western-Forest Park,0.096963982,0.014411829,-0.382864368,-0.79128921,-0.820698849,-0.758914071,-0.674451098,-0.543759995,-0.593723017,,,
Western-Orange,0.050982055,-5.00931E-05,-0.409494405,-0.825642846,-0.837815877,-0.767975754,-0.494286187,-0.522707396,-0.512490637,,,
Western/Milwaukee,0.09141008,0.048314049,-0.494037941,-0.927632533,-0.930712866,-0.883399016,-0.834789618,-0.774138143,-0.735174293,,,
Wilson,0.113302069,0.058336528,-0.38367649,-0.805954169,-0.809390882,-0.729252492,-0.669382186,-0.533300035,-0.544685702,,,
